timestamp,server_id,cpu_usage,memory_usage,disk_usage,network_traffic
2023-01-01T00:00:00,1,20,60,30,100
2023-01-01T00:05:00,1,25,65,35,110
2023-01-01T00:10:00,1,22,63,32,105
2023-01-01T00:15:00,1,18,58,28,95
2023-01-01T00:20:00,1,21,62,31,98
2023-01-01T00:25:00,1,24,67,34,102
2023-01-01T00:30:00,1,28,70,38,108
2023-01-01T00:35:00,1,30,72,40,112
2023-01-01T00:40:00,1,26,68,36,106
2023-01-01T00:45:00,1,23,64,33,100
2023-01-01T00:50:00,1,19,59,29,96
2023-01-01T00:55:00,1,15,55,25,90
2023-01-01T01:00:00,1,17,57,27,92
2023-01-01T01:05:00,1,20,60,30,95
2023-01-01T01:10:00,1,22,62,32,98
2023-01-01T01:15:00,1,25,65,35,102
2023-01-01T01:20:00,1,28,68,38,106
2023-01-01T01:25:00,1,30,70,40,110
2023-01-01T01:30:00,1,27,67,37,108
2023-01-01T01:35:00,1,24,63,34,104
2023-01-01T01:40:00,1,21,59,31,100
2023-01-01T01:45:00,1,18,55,28,96
2023-01-01T01:50:00,1,15,51,25,92
2023-01-01T01:55:00,1,20,57,30,98
2023-01-01T02:00:00,1,25,63,35,104
2023-01-01T02:05:00,1,30,68,40,110
2023-01-01T02:10:00,1,35,73,45,116
2023-01-01T02:15:00,1,40,78,50,122
2023-01-01T02:20:00,1,45,83,55,128
2023-01-01T02:25:00,1,50,88,60,134
2023-01-01T02:30:00,1,55,93,65,140
2023-01-01T02:35:00,1,60,98,70,146
2023-01-01T02:40:00,1,65,103,75,152
2023-01-01T02:45:00,1,70,108,80,158
2023-01-01T02:50:00,1,75,113,85,164
2023-01-01T02:55:00,1,80,118,90,170
2023-01-01T03:00:00,1,85,123,95,176
2023-01-01T03:05:00,1,90,128,100,182
2023-01-01T03:10:00,1,95,133,105,188
2023-01-01T03:15:00,1,100,138,110,194
2023-01-01T03:20:00,1,105,143,115,200
2023-01-01T03:25:00,1,110,148,120,206
2023-01-01T03:30:00,1,115,153,125,212